"date","value_cpi","value_ffer","value_unemp"
"1998-09-01","163.5","5.51","4.6"
"1998-10-01","163.9","5.07","4.5"
"1998-11-01","164.1","4.83","4.4"
"1998-12-01","164.4","4.68","4.4"
"1999-01-01","164.7","4.63","4.3"
"1999-02-01","164.7","4.76","4.4"
"1999-03-01","164.8","4.81","4.2"
"1999-04-01","165.9","4.74","4.3"
"1999-05-01","166.0","4.74","4.2"
"1999-06-01","166.0","4.76","4.3"
"1999-07-01","166.7","4.99","4.3"
"1999-08-01","167.1","5.07","4.2"
"1999-09-01","167.8","5.22","4.2"
"1999-10-01","168.1","5.20","4.1"
"1999-11-01","168.4","5.42","4.1"
"1999-12-01","168.8","5.30","4.0"
"2000-01-01","169.3","5.45","4.0"
"2000-02-01","170.0","5.73","4.1"
"2000-03-01","171.0","5.85","4.0"
"2000-04-01","170.9","6.02","3.8"
"2000-05-01","171.2","6.27","4.0"
"2000-06-01","172.2","6.53","4.0"
"2000-07-01","172.7","6.54","4.0"
"2000-08-01","172.7","6.50","4.1"
"2000-09-01","173.6","6.52","3.9"
"2000-10-01","173.9","6.51","3.9"
"2000-11-01","174.2","6.51","3.9"
"2000-12-01","174.6","6.40","3.9"
"2001-01-01","175.6","5.98","4.2"
"2001-02-01","176.0","5.49","4.2"
"2001-03-01","176.1","5.31","4.3"
"2001-04-01","176.4","4.8","4.4"
"2001-05-01","177.3","4.21","4.3"
"2001-06-01","177.7","3.97","4.5"
"2001-07-01","177.4","3.77","4.6"
"2001-08-01","177.4","3.65","4.9"
"2001-09-01","178.1","3.07","5.0"
"2001-10-01","177.6","2.49","5.3"
"2001-11-01","177.5","2.09","5.5"
"2001-12-01","177.4","1.82","5.7"
"2002-01-01","177.7","1.73","5.7"
"2002-02-01","178.0","1.74","5.7"
"2002-03-01","178.5","1.73","5.7"
"2002-04-01","179.3","1.75","5.9"
"2002-05-01","179.5","1.75","5.8"
"2002-06-01","179.6","1.75","5.8"
"2002-07-01","180.0","1.73","5.8"
"2002-08-01","180.5","1.74","5.7"
"2002-09-01","180.8","1.75","5.7"
"2002-10-01","181.2","1.75","5.7"
"2002-11-01","181.5","1.34","5.9"
"2002-12-01","181.8","1.24","6.0"
